#Date Time Action Protocol SrcIP DstIP SrcPort DstPort Direction "Message"
2025-07-03 00:00:16 ALLOW TCP 93.56.0.88 96.194.113.66 18242 3306 OUTBOUND "Allowed outbound HTTPS"
2025-07-03 00:05:18 BLOCK TCP 197.175.146.101 117.65.143.243 31790 8080 INBOUND "Suspicious DNS query"
2025-07-03 00:10:24 BLOCK UDP 68.55.169.20 68.4.249.84 54821 3389 OUTBOUND "Blocked inbound port scan"
2025-07-03 00:15:54 BLOCK UDP 33.153.221.88 133.153.162.108 46090 80 OUTBOUND "Dropped malformed packet"
2025-07-03 00:20:46 ALLOW TCP 130.179.112.237 111.193.155.120 51466 3306 OUTBOUND "Blocked inbound port scan"
2025-07-03 00:25:21 BLOCK UDP 107.117.237.224 70.102.175.238 55543 22 INBOUND "Allowed inbound VPN"
2025-07-03 00:30:38 BLOCK UDP 103.45.232.53 121.159.240.223 48001 8080 INBOUND "Allowed outbound DNS"
2025-07-03 00:35:31 ALLOW TCP 20.68.208.19 139.170.23.119 61030 5000 INBOUND "Allowed outbound SSH"
2025-07-03 00:40:53 BLOCK TCP 88.90.107.82 133.189.226.122 9276 3306 OUTBOUND "Possible SSH brute force"
2025-07-03 00:45:46 BLOCK UDP 37.109.125.199 81.128.141.2 8655 5000 OUTBOUND "Blocked inbound port scan"
2025-07-03 00:50:26 ALLOW UDP 186.212.217.96 175.248.33.71 61036 3306 INBOUND "Allowed outbound HTTPS"
2025-07-03 00:55:59 ALLOW UDP 115.243.239.62 87.46.141.105 59455 5000 INBOUND "Blocked inbound port scan"
2025-07-03 01:00:24 ALLOW TCP 89.157.125.202 172.208.252.85 40258 22 INBOUND "Allowed outbound SSH"
2025-07-03 01:05:32 ALLOW UDP 53.246.6.121 150.162.4.124 49537 445 OUTBOUND "Blocked inbound port scan"
2025-07-03 01:10:51 BLOCK UDP 65.45.11.181 40.49.124.239 21271 445 INBOUND "Allowed outbound HTTPS"
2025-07-03 01:15:32 BLOCK TCP 129.122.79.103 107.123.210.42 37253 80 INBOUND "Allowed outbound HTTPS"
2025-07-03 01:20:20 ALLOW UDP 146.88.188.190 31.88.4.217 12278 8080 INBOUND "Allowed outbound HTTPS"
2025-07-03 01:25:01 ALLOW UDP 12.111.128.141 28.125.45.137 29598 3306 INBOUND "Possible SSH brute force"
2025-07-03 01:30:00 ALLOW UDP 20.119.49.106 30.98.97.164 3535 5000 OUTBOUND "Blocked outbound to blacklisted IP"
2025-07-03 01:35:54 BLOCK TCP 185.197.122.215 185.162.116.172 59970 80 OUTBOUND "Blocked outbound to blacklisted IP"
2025-07-03 01:40:23 BLOCK TCP 58.100.16.152 13.213.236.226 23860 8080 INBOUND "Suspicious DNS query"
2025-07-03 01:45:29 BLOCK TCP 78.144.249.232 198.92.157.248 45121 22 INBOUND "Blocked inbound port scan"
2025-07-03 01:50:36 ALLOW TCP 96.98.31.201 92.202.170.173 58390 22 OUTBOUND "Suspicious DNS query"
2025-07-03 01:55:14 BLOCK TCP 100.112.247.254 181.69.149.25 62822 3389 OUTBOUND "Possible SSH brute force"
2025-07-03 02:00:01 ALLOW UDP 145.182.63.203 22.169.232.235 55801 22 OUTBOUND "Allowed inbound VPN"
2025-07-03 02:05:30 BLOCK TCP 33.0.42.221 152.61.151.184 7715 3389 OUTBOUND "Suspicious DNS query"
2025-07-03 02:10:26 ALLOW UDP 199.90.11.228 43.77.130.27 1088 53 INBOUND "Allowed outbound HTTPS"
2025-07-03 02:15:36 ALLOW UDP 182.104.176.156 43.250.56.45 55036 3306 OUTBOUND "Suspicious DNS query"
2025-07-03 02:20:43 BLOCK UDP 200.98.96.141 78.101.79.177 45974 8080 INBOUND "Allowed inbound VPN"
2025-07-03 02:25:16 ALLOW TCP 73.207.199.49 24.29.114.225 32040 3306 OUTBOUND "Blocked inbound port scan"
2025-07-03 02:30:42 BLOCK TCP 133.40.83.107 91.228.79.35 27003 8080 OUTBOUND "Allowed outbound SSH"
2025-07-03 02:35:39 BLOCK TCP 52.33.211.57 188.49.252.138 40015 443 INBOUND "Dropped malformed packet"
2025-07-03 02:40:53 BLOCK TCP 189.122.216.159 22.127.6.117 58033 443 INBOUND "Allowed outbound HTTPS"
2025-07-03 02:45:29 ALLOW UDP 160.153.220.110 191.209.92.190 23732 443 OUTBOUND "Allowed outbound SSH"
2025-07-03 02:50:06 ALLOW UDP 190.208.149.46 18.113.112.133 39144 80 OUTBOUND "Dropped malformed packet"
2025-07-03 02:55:01 BLOCK UDP 22.19.228.113 191.42.80.210 12297 53 OUTBOUND "Allowed outbound HTTPS"
2025-07-03 03:00:33 ALLOW UDP 181.4.41.216 17.174.71.230 3256 5000 OUTBOUND "Dropped malformed packet"
2025-07-03 03:05:13 BLOCK TCP 193.82.173.95 174.80.248.5 55729 3389 INBOUND "Allowed outbound SSH"
2025-07-03 03:10:48 ALLOW TCP 73.139.227.43 21.197.66.247 7337 53 INBOUND "Allowed inbound VPN"
2025-07-03 03:15:44 ALLOW TCP 97.140.161.186 163.250.19.73 46176 53 OUTBOUND "Blocked inbound port scan"
2025-07-03 03:20:29 BLOCK UDP 140.199.211.197 141.8.183.253 18836 80 INBOUND "Allowed outbound SSH"
2025-07-03 03:25:21 BLOCK TCP 58.238.25.191 182.122.31.194 37961 3389 OUTBOUND "Suspicious DNS query"
2025-07-03 03:30:01 BLOCK UDP 39.62.98.8 49.142.37.92 64166 443 OUTBOUND "Dropped malformed packet"
2025-07-03 03:35:40 BLOCK TCP 39.194.44.230 62.165.65.7 48493 443 INBOUND "Blocked inbound port scan"
2025-07-03 03:40:35 BLOCK UDP 85.159.48.65 65.73.196.12 65296 8080 OUTBOUND "Possible SSH brute force"
2025-07-03 03:45:23 BLOCK TCP 71.67.17.244 16.136.226.66 15040 5000 OUTBOUND "Allowed outbound SSH"
2025-07-03 03:50:18 BLOCK TCP 29.81.186.141 132.201.26.110 4124 3306 OUTBOUND "Allowed outbound HTTPS"
